RatingID,MovieID,UserID,RatingValue,Comment,RatingDate
1,180,42,5.1,Its fast pace and surprising ending astonish viewers. Enriched with cultural elements and historical references.,2007-06-24
2,11,32,7.1,Stands out with its original script and captivating storyline. The film takes the audience on a deep adventure.,1982-04-23
3,271,7,3.9,The film takes the audience on a deep adventure. Elegantly addresses the relationship between nature and humanity. Its mysterious atmosphere captivates the audience. Stands out with fast-paced action scenes.,1996-03-17
4,89,97,2.6,Its mysterious atmosphere captivates the audience. A thrilling production filled with suspenseful moments. Centers on childhood memories and family bonds.,2021-05-07
5,80,192,2.6,Offers a unique interpretation of historical events. Successfully reflects local cultural motifs. Stands out with its original script and captivating storyline. Its fast pace and surprising ending astonish viewers. Aesthetically and artistically successful film.,2018-10-01
6,228,16,1.3,A production that will be remembered in cinema history. A thrilling production filled with suspenseful moments.,2021-11-27
7,179,93,2.5,A striking film with strong social messages. Amazes viewers with its visual effects.,2022-07-07
8,80,173,9.4,Stands out with excellent music and set design. A thrilling production filled with suspenseful moments. Centers on childhood memories and family bonds. Focuses on characters with psychological depth. Stands out with fast-paced action scenes.,2013-05-25
9,174,127,2.3,Amazes viewers with its visual effects. Interpersonal relationships are impressively portrayed. The plot tells a story where love and drama intertwine. Its mysterious atmosphere captivates the audience. A striking film with strong social messages.,2009-10-23
10,51,267,7.0,Its fast pace and surprising ending astonish viewers. Elegantly addresses the relationship between nature and humanity. Offers a unique interpretation of historical events. Focuses on characters with psychological depth.,2018-01-08
11,268,202,5.9,A production that will be remembered in cinema history. A must-watch for its gripping script and powerful performances. Aesthetically and artistically successful film.,2022-12-15
12,230,102,9.5,Interpersonal relationships are impressively portrayed. Memorable scenes leave a lasting impact. Stands out with fast-paced action scenes. A striking film with strong social messages. The film takes the audience on a deep adventure.,2007-02-21
13,252,54,6.1,A production that will be remembered in cinema history. A striking film with strong social messages. Successfully reflects local cultural motifs. Centers on childhood memories and family bonds. Offers a unique interpretation of historical events.,2005-06-03
14,29,271,1.4,A production that will be remembered in cinema history. Elegantly addresses the relationship between nature and humanity.,2025-08-30
15,293,278,6.8,Focuses on characters with psychological depth. The film takes the audience on a deep adventure.,2019-12-12
