MovieID,Title,ReleaseYear,DurationMinutes,Language,Country,Budget,BoxOffice,Description
1,Taiyō Ken Shizukesa Tabibito,2009,96,Japanese,Japan,255825301.3,199760550.3,A production that will be remembered in cinema history. The film takes the audience on a deep adventure.
2,Sang Voix Ombre,1997,160,French,France,95779129.23,212874216.6,A striking film with strong social messages. Aesthetically and artistically successful film. Amazes viewers with its visual effects.
3,Feng Ri,1994,99,Chinese,China,86897026.08,384720125.7,Notable for its color palette and cinematography. The film takes the audience on a deep adventure.
4,Dream Fall Hopeless,2016,97,Turkish,Turkey,25856701.56,87656624.21,Stands out with excellent music and set design. Its fast pace and surprising ending astonish viewers. Memorable scenes leave a lasting impact.
5,Tian Shan,2022,125,Chinese,China,68109405.06,164244015.7,Offers a unique interpretation of historical events. Its fast pace and surprising ending astonish viewers. Enriched with cultural elements and historical references.
6,Zindagi Raat Pyar Safar,2004,84,Hindi,India,293480918.1,897075227.7,Aesthetically and artistically successful film. A story blending fantasy elements with the real world.
7,Luz Fuego,2003,146,Spanish,Mexico,23931263.28,107801238.9,Centers on childhood memories and family bonds. Notable for its color palette and cinematography.
8,Shan Long,2021,158,Chinese,China,16305894.51,33361171.56,Elegantly addresses the relationship between nature and humanity. A story blending fantasy elements with the real world. A must-watch for its gripping script and powerful performances. Memorable scenes leave a lasting impact. Its mysterious atmosphere captivates the audience.
9,Fluss Feuer Schatten Traum,1988,168,German,Germany,276897922.6,1072263325,Elegantly addresses the relationship between nature and humanity. The plot tells a story where love and drama intertwine. Centers on childhood memories and family bonds.
10,Feuer Seele,2021,116,German,Germany,145685676.4,155985072.3,Features powerful dialogues and cleverly constructed plot. Enriched with cultural elements and historical references. The film takes the audience on a deep adventure.
11,Tormenta Noche Luz,1977,155,Spanish,Mexico,221820686.4,768874948,Stands out with its original script and captivating storyline. Its fast pace and surprising ending astonish viewers. The plot tells a story where love and drama intertwine. A must-watch for its gripping script and powerful performances. Stands out with fast-paced action scenes.
12,Silence Dream,2008,176,Turkish,Turkey,298078879.6,1182376094,Amazes viewers with its visual effects. Elegantly addresses the relationship between nature and humanity. A story blending fantasy elements with the real world.
13,Dream Blood Night,1973,86,English,USA,50696318.83,116315180.9,Centers on childhood memories and family bonds. Offers a unique interpretation of historical events. Interpersonal relationships are impressively portrayed. A striking film with strong social messages. Enriched with cultural elements and historical references.
